Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.024749,0.0027022,0.050441,0,0,0,18,0.021933,0.00047885,0.0012726,0.027828,-0.00011003,0.045622,0,0,0,0,0,0,package://mmc1_description/meshes/base_link.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://mmc1_description/meshes/base_link.STL,,base_silver.stp-1,base_silver,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_black_link,0.0030623,4.2491E-06,-0.054227,0,0,0,11,0.01124,-3.9646E-07,9.4683E-06,0.009435,1.3728E-08,0.020524,0,0,0,0,0,0,package://mmc1_description/meshes/base_black_link.STL,0.03,0.03,0.03,1,0,0,0,0,0,0,package://mmc1_description/meshes/base_black_link.STL,,base-back.stp-1,base_black,base_black_axle,base_black_joint,fixed,-0.0021657,0,0.1537,0,0,0,base_link,0,0,0,,,,,,,,,,,,
front_left_wheel_link,-1.0457E-05,-0.009711,1.2528E-05,0,0,0,1.5,0.0023806,-5.1799E-09,3.3691E-07,0.004547,4.7143E-09,0.0023798,0,0,0,0,0,0,package://mmc1_description/meshes/front_left_wheel_link.STL,0.03,0.03,0.03,1,0,0,0,0,0,0,package://mmc1_description/meshes/front_left_wheel_link.STL,,front_left_wheel.stp-1,front_left_wheel,front_left_wheel_axle,front_left_wheel_joint,continuous,0.175,0.28005,0.052199,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
front_right_wheel_link,5.9336E-06,0.0097111,-1.4936E-05,0,0,0,1.5,0.0023802,-3.3583E-09,5.1898E-07,0.0045471,6.8879E-09,0.0023801,0,0,0,0,0,0,package://mmc1_description/meshes/front_right_wheel_link.STL,0.03,0.03,0.03,1,0,0,0,0,0,0,package://mmc1_description/meshes/front_right_wheel_link.STL,,front_right_wheel.stp-1,front_right_wheel,front_right_wheel_axle,front_right_wheel_joint,continuous,0.175,-0.28005,0.052202,0,0,0,base_link,0,1,0,,,,,,,,,,,,
rear_left_wheel_link,-1.1327E-05,-0.009711,1.1649E-05,0,0,0,1.5,0.0023805,-5.5206E-09,3.8945E-07,0.004547,4.432E-09,0.0023798,0,0,0,0,0,0,package://mmc1_description/meshes/rear_left_wheel_link.STL,0.03,0.03,0.03,1,0,0,0,0,0,0,package://mmc1_description/meshes/rear_left_wheel_link.STL,,rear_left_wheel.stp-1,rear_left_wheel,rear_left_wheel_axle,rear_left_wheel_joint,continuous,-0.174998131093904,0.280049999999999,0.052198748930327,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
rear_right_wheel_link,6.0975E-06,0.009711,-1.5028E-05,0,0,0,1.5,0.0023802,-5.727E-09,5.1897E-07,0.0045471,8.2022E-09,0.0023801,0,0,0,0,0,0,package://mmc1_description/meshes/rear_right_wheel_link.STL,0.03,0.03,0.03,1,0,0,0,0,0,0,package://mmc1_description/meshes/rear_right_wheel_link.STL,,rear_right_wheel.stp-1,rear_right_wheel,rear_right_wheel_axle,rear_right_wheel_joint,continuous,-0.175,-0.28005,0.052202,0,0,0,base_link,0,1,0,,,,,,,,,,,,
navi_tool_silver_link,0.018841,-0.00012546,0.058135,0,0,0,4,0.0087345,1.3619E-06,-6.4658E-05,0.010197,-9.6238E-07,0.016356,0,0,0,0,0,0,package://mmc1_description/meshes/navi_tool_silver_link.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://mmc1_description/meshes/navi_tool_silver_link.STL,,navi_tool_silver.stp-1,navi_tool_silver,navi_tool_silver_axle,navi_tool_silver_joint,fixed,0.0039305,8.5407E-05,0.1722,0,0,0,base_link,0,0,0,,,,,,,,,,,,
navi_tool_black_link,-0.14514,0.00011961,-0.00048361,0,0,0,3,0.020614,2.8801E-06,-0.0024088,0.0095521,-1.5725E-06,0.026573,0,0,0,0,0,0,package://mmc1_description/meshes/navi_tool_black_link.STL,0.03,0.03,0.03,1,0,0,0,0,0,0,package://mmc1_description/meshes/navi_tool_black_link.STL,,navi_tool_black.stp-1,navi_tool_black,navi_tool_black_axle,navi_tool_black_joint,fixed,0.000225099929230491,0,0.3032,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,0,-0.0028567,0.011065,0,0,0,0.3,1.0867E-05,5.1072E-20,-2.1104E-21,5.8923E-06,2.3558E-07,1.3182E-05,0,0,0,0,0,0,package://mmc1_description/meshes/imu_link.STL,0.03,0.03,0.03,1,0,0,0,0,0,0,package://mmc1_description/meshes/imu_link.STL,,imu.stp-1,imu,imu_axle,imu_joint,fixed,0.051564,0,0.1852,0,0,0,base_link,0,0,0,,,,,,,,,,,,
laser_link,-0.000703,0.00013361,0.026328,0,0,0,0.5,4.0851E-05,-8.5077E-08,2.92E-07,4.0004E-05,1.3035E-07,3.5002E-05,0,0,0,0,0,0,package://mmc1_description/meshes/laser_link.STL,0.03,0.03,0.03,1,0,0,0,0,0,0,package://mmc1_description/meshes/laser_link.STL,,laser.stp-1,laser,laser_axle,laser_joint,fixed,0.18095,0,0.1732,0,0,0,base_link,0,0,0,,,,,,,,,,,,
